Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
MUC20,"FLJ14408, KIAA1359",ENSG00000176945,"Mucin 20, cell surface associated",3,195720882-195741123,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA042249,NA,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,Renal cancer:1.57e-4 (favourable),Mixed,Mixed,NA,NA,colon: 10.4,Cell line enriched,7,SK-BR-3: 20.9
MURC,"cavin-4, CAVIN4",ENSG00000170681,Muscle related coiled-coil protein,9,100578079-100587906,Predicted intracellular proteins,Evidence at protein level,"HPA020973, HPA020987, HPA021021",Enhanced,NA,Supported,Nucleoplasm<br>Golgi apparatus<br>Plasma membrane,NA,Tissue enhanced,Group enriched,9,heart muscle: 34.8;skeletal muscle: 103.8,prostate: 7.4,Cell line enhanced,NA,NTERA-2: 9.6;SCLC-21H: 17.1
MYB,c-myb,ENSG00000118513,"MYB proto-oncogene, transcription factor",6,135181315-135219173,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,CAB017704,Approved,NA,Approved,Nucleus<br>Plasma membrane,"Prostate cancer:9.65e-4 (favourable), Stomach cancer:9.87e-4 (favourable)",Tissue enhanced,Tissue enhanced,NA,breast: 26.3;rectum: 29.1,colon: 25.2,Cell line enhanced,NA,HL-60: 173.9;MOLT-4: 321.7;REH: 222.8;THP-1: 230.7;U-937: 145.8
MYH11,"SMHC, SMMHC",ENSG00000133392,Myosin heavy chain 11,16,15703172-15857033,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002302, HPA014539, HPA015310",Enhanced,NA,Approved,Plasma membrane<br>Cytosol,Liver cancer:1.10e-5 (favourable),Tissue enhanced,Tissue enhanced,NA,seminal vesicle: 1381.0;smooth muscle: 1022.0,prostate: 899.8,Cell line enhanced,NA,BEWO: 1.7;NB-4: 1.2;U-698: 3.4
MYH9,"DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA",ENSG00000100345,Myosin heavy chain 9,22,36281281-36388018,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001644, CAB015386, HPA064783",Enhanced,NA,Supported,Plasma membrane<br>Actin filaments<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,spleen: 308.5,Expressed in all,NA,NA
MYL4,"ALC1, AMLC, GT1, PRO1957",ENSG00000198336,Myosin light chain 4,17,47200446-47223679,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA046859, HPA051884, HPA063034",Enhanced,NA,Approved,Plasma membrane,NA,Group enriched,Tissue enriched,21,heart muscle: 1686.3,bone marrow: 79.9,Group enriched,20,HEL: 495.8;K-562: 118.9
MYLK,"MLCK, MLCK1, MYLK1, smMLCK",ENSG00000065534,Myosin light chain kinase,3,123610049-123884331,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB020789, HPA031677, HPA048055",Enhanced,NA,Enhanced,Plasma membrane<br>Actin filaments,"Renal cancer:2.04e-6 (unfavourable), Urothelial cancer:4.46e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,smooth muscle: 3002.5,Cell line enhanced,NA,BJ: 144.8;BJ hTERT+: 209.1;fHDF/TERT166: 165.3;RPTEC TERT1: 207.7
MYO10,KIAA0799,ENSG00000145555,Myosin X,5,16661914-16936276,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB015224, HPA024223",Enhanced,NA,Supported,Nucleoli<br>Plasma membrane<br>Cytosol,"Renal cancer:2.75e-4 (favourable), Cervical cancer:4.35e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 68.3,Mixed,NA,NA
MYO1B,myr1,ENSG00000128641,Myosin IB,2,191245185-191425389,Predicted intracellular proteins,Evidence at protein level,"HPA013607, HPA060144",Approved,NA,Enhanced,Plasma membrane,Renal cancer:2.36e-5 (unfavourable),Expressed in all,Mixed,NA,NA,liver: 130.2,Cell line enhanced,NA,hTERT-HME1: 276.9
MYO1C,myr2,ENSG00000197879,Myosin IC,17,1464098-1492812,"Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA001768, HPA005924, CAB037023",Enhanced,NA,Enhanced,Nuclear bodies<br>Plasma membrane,Lung cancer:5.22e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,adipose tissue: 192.4,Mixed,NA,NA
MYO3A,DFNB30,ENSG00000095777,Myosin IIIA,10,25934267-26212527,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA048951, HPA051893",Approved,NA,Supported,Plasma membrane<br>Actin filaments<br>Cytoplasmic bodies,NA,Mixed,Tissue enriched,9,testis: 6.8,skin: 0.8,Cell line enhanced,NA,CAPAN-2: 2.0;HEK93: 2.2;SCLC-21H: 2.3;U-2 OS: 3.7;U-698: 8.6
MYO5B,KIAA1119,ENSG00000167306,Myosin VB,18,49822813-50195093,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA040593, HPA040902, HPA069773",Enhanced,NA,Approved,Plasma membrane,"Renal cancer:1.45e-11 (favourable), Pancreatic cancer:2.26e-5 (unfavourable)",Expressed in all,Mixed,NA,NA,small intestine: 67.6,Cell line enhanced,NA,HaCaT: 88.6;RH-30: 147.5
MYO9A,"FLJ11061, FLJ13244, MGC71859",ENSG00000066933,Myosin IXA,15,71822289-72118577,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA039812, HPA040071",Approved,NA,Approved,Plasma membrane,Renal cancer:2.14e-4 (favourable),Mixed,Tissue enhanced,NA,testis: 51.5,thyroid gland: 22.1,Expressed in all,NA,NA
MYOF,"FER1L3, KIAA1207",ENSG00000138119,Myoferlin,10,93306429-93482317,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA014245,Enhanced,NA,Supported,Vesicles<br>Plasma membrane,Pancreatic cancer:1.40e-4 (unfavourable),Expressed in all,Mixed,NA,NA,"cervix, uterine: 101.2",Mixed,NA,NA
MYSM1,KIAA1915,ENSG00000162601,"Myb like, SWIRM and MPN domains 1",1,58654739-58700092,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA054291, HPA067133",Approved,NA,Supported,Nucleoplasm<br>Plasma membrane,Head and neck cancer:5.09e-5 (favourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 11.2,Mixed,NA,NA
N4BP2,B3BP,ENSG00000078177,NEDD4 binding protein 2,4,40056826-40158252,Predicted intracellular proteins,Evidence at protein level,"HPA036770, HPA042607",Approved,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Centrosome,NA,Expressed in all,Mixed,NA,NA,endometrium: 5.6,Cell line enhanced,NA,MOLT-4: 20.8
NAB1,NA,ENSG00000138386,NGFI-A binding protein 1,2,190646746-190692766,Predicted intracellular proteins,Evidence at protein level,HPA002738,Uncertain,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Plasma membrane,Pancreatic cancer:1.01e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,skin: 80.6,Expressed in all,NA,NA
NAIF1,"bA379C10.2, C9orf90, DKFZp762G199",ENSG00000171169,Nuclear apoptosis inducing factor 1,9,128061233-128068206,Predicted intracellular proteins,Evidence at protein level,"HPA054898, HPA064931",NA,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Pancreatic cancer:1.02e-5 (favourable), Renal cancer:8.30e-5 (favourable), Liver cancer:1.61e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,testis: 4.6,Expressed in all,NA,NA
NAP1L2,"BPX, MGC26243",ENSG00000186462,Nucleosome assembly protein 1 like 2,X,73212299-73214848,Predicted intracellular proteins,Evidence at protein level,"HPA054050, HPA057065",NA,NA,Enhanced,Vesicles<br>Plasma membrane<br>Cytosol,Pancreatic cancer:5.41e-4 (favourable),Mixed,Tissue enriched,5,cerebral cortex: 90.1,"parathyroid gland,prostate: 17.8",Cell line enhanced,NA,EFO-21: 15.7;NTERA-2: 18.1;U-2197: 13.6;U-266/84: 21.9
NAPG,NA,ENSG00000134265,NSF attachment protein gamma,18,10525905-10552761,Predicted intracellular proteins,Evidence at protein level,"HPA008208, HPA011389",Enhanced,NA,Approved,Plasma membrane<br>Cytosol,Renal cancer:8.14e-4 (favourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 50.5,Expressed in all,NA,NA
NARFL,"FLJ21988, HPRN, IOP1, NAR1, PRN",ENSG00000103245,Nuclear prelamin A recognition factor like,16,729753-741329,Predicted intracellular proteins,Evidence at protein level,HPA040851,Approved,NA,Approved,Plasma membrane<br>Cytosol,"Cervical cancer:1.32e-5 (favourable), Renal cancer:9.83e-5 (favourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 19.3,Expressed in all,NA,NA
NCAM1,"CD56, NCAM",ENSG00000149294,Neural cell adhesion molecule 1,11,112961247-113278436,"Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB000142, CAB018071, HPA039835",Enhanced,NA,Enhanced,Plasma membrane<br>Cytosol,"Pancreatic cancer:9.11e-6 (favourable), Renal cancer:8.20e-4 (unfavourable)",Tissue enriched,Tissue enhanced,NA,cerebral cortex: 334.9,heart muscle: 87.5,Cell line enhanced,NA,RH-30: 128.0;SCLC-21H: 126.2;U-138 MG: 71.8;WM-115: 77.9
NCAM2,"MGC51008, NCAM21",ENSG00000154654,Neural cell adhesion molecule 2,21,20998315-21543329,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA030900, HPA030901",Supported,NA,Supported,Nuclear bodies<br>Plasma membrane,NA,Tissue enhanced,Tissue enhanced,NA,cerebral cortex: 68.8,adrenal gland: 15.8,Cell line enhanced,NA,T-47d: 86.4;WM-115: 22.5
NCK1,"NCK, NCKalpha",ENSG00000158092,NCK adaptor protein 1,3,136862208-136949823,Predicted intracellular proteins,Evidence at protein level,"CAB005063, HPA030766",Supported,NA,Enhanced,Plasma membrane<br>Cytosol,"Pancreatic cancer:9.14e-5 (unfavourable), Renal cancer:1.08e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,lymph node: 48.8,Expressed in all,NA,NA
NCKAP1L,HEM1,ENSG00000123338,NCK associated protein 1 like,12,54497711-54548238,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA039490, HPA040772",Approved,NA,Uncertain,Plasma membrane<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,spleen: 54.9,Cell line enhanced,NA,HL-60: 89.0;HMC-1: 98.8;THP-1: 81.4;U-937: 55.5
NCKAP5,"ERIH1, ERIH2, NAP5",ENSG00000176771,NCK associated protein 5,2,132671799-133568463,Predicted intracellular proteins,Evidence at protein level,"HPA034639, HPA044859",Uncertain,NA,Approved,Nucleoli<br>Golgi apparatus<br>Plasma membrane<br>Cytosol,NA,Mixed,Tissue enhanced,NA,lung: 17.3,"cerebral cortex,kidney: 4.4",Cell line enriched,7,AF22: 45.7
NCKIPSD,"AF3P21, DIP1, ORF1, SPIN90, WASLBP, WISH",ENSG00000213672,NCK interacting protein with SH3 domain,3,48673844-48686364,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB019267, HPA050005",NA,NA,Enhanced,Plasma membrane<br>Cytosol,"Renal cancer:1.20e-5 (favourable), Liver cancer:8.57e-4 (unfavourable)",Expressed in all,Tissue enriched,9,parathyroid gland: 306.0,cerebral cortex: 35.0,Expressed in all,NA,NA
NCOA1,"bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1",ENSG00000084676,Nuclear receptor coactivator 1,2,24491914-24770702,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB019402, HPA070213, HPA070520",Enhanced,NA,Enhanced,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 59.0,Expressed in all,NA,NA
NCS1,"FREQ, NCS-1",ENSG00000107130,Neuronal calcium sensor 1,9,130172578-130237304,Predicted intracellular proteins,Evidence at protein level,"CAB018587, HPA019713",Enhanced,Supported,Enhanced,Plasma membrane,"Liver cancer:1.11e-4 (unfavourable), Breast cancer:5.40e-4 (unfavourable), Thyroid cancer:8.25e-4 (unfavourable), Endometrial cancer:8.69e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,cerebral cortex: 178.1,seminal vesicle: 92.3,Mixed,NA,NA
NDC1,"FLJ10407, NET3, TMEM48",ENSG00000058804,NDC1 transmembrane nucleoporin,1,53765460-53838860,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA069751, HPA070882",Approved,NA,Supported,Nuclear membrane<br>Plasma membrane<br>Actin filaments,"Liver cancer:7.52e-7 (unfavourable), Colorectal cancer:4.48e-5 (favourable), Pancreatic cancer:3.58e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,lymph node: 16.4,Expressed in all,NA,NA
NECTIN4,"LNIR, nectin-4, PRR4, PVRL4",ENSG00000143217,Nectin cell adhesion molecule 4,1,161070995-161089599,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA010775,Enhanced,NA,Supported,Plasma membrane,NA,Mixed,Tissue enhanced,NA,esophagus: 45.9;skin: 79.5,"breast,placenta: 17.1",Cell line enhanced,NA,BEWO: 53.8;HaCaT: 32.5;SK-BR-3: 35.3;T-47d: 28.8
NEDD9,"CAS-L, CASS2, HEF1",ENSG00000111859,"Neural precursor cell expressed, developmentally down-regulated 9",6,11183298-11382348,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB009720, HPA038768, HPA039270",Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,lung: 103.4,Cell line enhanced,NA,EFO-21: 129.1
NEO1,"HsT17534, IGDCC2, NGN, NTN1R2",ENSG00000067141,Neogenin 1,15,73051710-73305206,"Cancer-related genes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB009320, HPA027804, HPA027805, HPA027806",Uncertain,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Plasma membrane,Renal cancer:4.39e-4 (favourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 102.7,Mixed,NA,NA
NF2,"ACN, BANF, merlin, SCH",ENSG00000186575,Neurofibromin 2,22,29603556-29698598,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA003097, CAB005385",Supported,NA,Enhanced,Nucleus<br>Plasma membrane<br>Cytosol,Renal cancer:2.89e-5 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 58.7,Expressed in all,NA,NA
NFE2L2,NRF2,ENSG00000116044,"Nuclear factor, erythroid 2 like 2",2,177227595-177392697,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA002990, CAB020317, HPA043438",Enhanced,NA,Approved,Nucleus<br>Plasma membrane<br>Cytosol,Renal cancer:2.26e-4 (favourable),Expressed in all,Expressed in all,NA,NA,esophagus: 267.1,Expressed in all,NA,NA
NGEF,ARHGEF27,ENSG00000066248,Neuronal guanine nucleotide exchange factor,2,232878686-233013272,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA008160,Approved,NA,Uncertain,Plasma membrane<br>Cytosol,NA,Mixed,Tissue enhanced,NA,adrenal gland: 66.5;cerebral cortex: 151.4,duodenum: 42.8,Cell line enhanced,NA,A-431: 46.9;HDLM-2: 42.0;PC-3: 52.8;T-47d: 30.2
NGFR,"CD271, p75NTR, TNFRSF16",ENSG00000064300,Nerve growth factor receptor,17,49495293-49515017,"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins",Evidence at protein level,"CAB000143, CAB001995, HPA004765",Enhanced,NA,Approved,Nucleoplasm<br>Plasma membrane,Urothelial cancer:3.40e-4 (unfavourable),Expressed in all,Mixed,NA,NA,adipose tissue: 32.4,Group enriched,8,RH-30: 193.0;WM-115: 221.3
NID2,NA,ENSG00000087303,Nidogen 2,14,52004803-52069228,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA052460, HPA058772",Enhanced,NA,Supported,Plasma membrane,"Urothelial cancer:2.78e-4 (unfavourable), Stomach cancer:7.34e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,placenta: 88.5,thyroid gland: 54.1,Cell line enhanced,NA,ASC diff: 198.6;BJ: 133.5;HHSteC: 134.5;HSkMC: 435.7
NKTR,p104,ENSG00000114857,Natural killer cell triggering receptor,3,42600614-42648741,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA022120, HPA051576",Approved,NA,Supported,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Urothelial cancer:1.05e-5 (favourable), Head and neck cancer:1.26e-4 (favourable), Renal cancer:5.02e-4 (unfavourable), Prostate cancer:6.01e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 24.3,Expressed in all,NA,NA
NKX2-8,"Nkx2-9, NKX2.8, NKX2H",ENSG00000136327,NK2 homeobox 8,14,36580579-36582607,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA062879,Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane,NA,Mixed,Tissue enhanced,NA,testis: 3.1,lung: 0.6,Cell line enhanced,NA,HaCaT: 4.6;PC-3: 2.8;SiHa: 1.3
NLGN1,KIAA1070,ENSG00000169760,Neuroligin 1,3,173396284-174286644,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA006572, HPA006680",Approved,NA,Uncertain,Nuclear bodies<br>Plasma membrane,NA,Group enriched,Tissue enhanced,NA,cerebral cortex: 25.4,testis: 12.5,Cell line enhanced,NA,fHDF/TERT166: 20.1;HUVEC TERT2: 20.7;RH-30: 25.4;WM-115: 26.7
NMB,"MGC17211, MGC2277, MGC3936",ENSG00000197696,Neuromedin B,15,84655129-84658563,Predicted secreted proteins,Evidence at protein level,CAB019302,Approved,NA,Approved,Nucleus<br>Vesicles<br>Plasma membrane,"Renal cancer:2.25e-4 (unfavourable), Glioma:5.07e-4 (favourable)",Expressed in all,Tissue enhanced,NA,adipose tissue: 46.2;cerebral cortex: 47.2,thyroid gland: 14.8,Cell line enhanced,NA,A-431: 46.7
NMBR,"BB1, BB1R",ENSG00000135577,Neuromedin B receptor,6,142058330-142088799,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA026665,NA,NA,Supported,Plasma membrane<br>Cytosol,NA,Not detected,Group enriched,5,fallopian tube: 1.4;testis: 2.6,cerebral cortex: 0.3,Not detected,NA,NA
NMT1,NMT,ENSG00000136448,N-myristoyltransferase 1,17,45051610-45109016,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA022949, HPA022963",Enhanced,NA,Supported,Plasma membrane<br>Cytosol,Liver cancer:4.94e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 58.6,Expressed in all,NA,NA
NMT2,NA,ENSG00000152465,N-myristoyltransferase 2,10,15102584-15168693,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA001303,Approved,NA,Supported,Golgi apparatus<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 39.4,Cell line enhanced,NA,TIME: 123.2
NOS1,"nNOS, NOS",ENSG00000089250,Nitric oxide synthase 1,12,117208142-117452170,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002167, HPA058312",Uncertain,NA,Supported,Nucleoplasm<br>Plasma membrane,NA,Mixed,Tissue enhanced,NA,skeletal muscle: 12.9,cerebral cortex: 3.0,Cell line enhanced,NA,HaCaT: 4.0;RH-30: 9.0;RPTEC TERT1: 4.4
NOTCH2,NA,ENSG00000134250,Notch 2,1,119911553-120069626,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA048743,Approved,NA,Supported,Nucleoplasm<br>Plasma membrane,"Ovarian cancer:5.24e-4 (unfavourable), Pancreatic cancer:9.48e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,"cervix, uterine: 46.7",Mixed,NA,NA
NPFFR2,"GPR74, NPFF2, NPGPR",ENSG00000056291,Neuropeptide FF receptor 2,4,72031804-72148067,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA026825,NA,NA,Approved,Plasma membrane<br>Actin filaments,NA,Mixed,Tissue enhanced,NA,placenta: 2.3;seminal vesicle: 4.6,epididymis: 1.1,Group enriched,11,NTERA-2: 9.2;RPTEC TERT1: 9.0;SH-SY5Y: 14.9;U-2 OS: 14.5
NPL,"C1orf13, DHDPS1, NPL1",ENSG00000135838,N-acetylneuraminate pyruvate lyase,1,182789293-182830384,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA028345,NA,NA,Approved,Vesicles<br>Plasma membrane,"Renal cancer:6.63e-4 (unfavourable), Liver cancer:8.05e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,placenta: 63.8,Mixed,NA,NA
